Crop,county,state,fips,2014_Yield,2018_Yield,yieldChange
CORN,BALDWIN,AL,01003,138.9,165,26.1
CORN,BARBOUR,AL,01005,166.3,152,-14.3
CORN,BLOUNT,AL,01009,144,156.2,12.2
CORN,BUTLER,AL,01013,102.8,153.6,50.8
CORN,CALHOUN,AL,01015,136.2,150,13.8
CORN,CHEROKEE,AL,01019,113.2,113.2,0
CORN,COLBERT,AL,01033,191.5,181.5,-10
CORN,CONECUH,AL,01035,115.7,137.3,21.6
CORN,CRENSHAW,AL,01041,75.8,168.3,92.5
CORN,CULLMAN,AL,01043,163.5,170.5,7
CORN,DALE,AL,01045,116.2,176.8,60.6
CORN,DALLAS,AL,01047,111.6,124.3,12.7
CORN,DE KALB,AL,01049,144.3,100,-44.3
CORN,ESCAMBIA,AL,01053,163.5,109.5,-54
CORN,ETOWAH,AL,01055,121,162.3,41.3
CORN,FAYETTE,AL,01057,142.5,100,-42.5
CORN,FRANKLIN,AL,01059,143.9,155.3,11.4
CORN,HALE,AL,01065,140,165.3,25.3
CORN,HOUSTON,AL,01069,148.3,176.9,28.6
CORN,JACKSON,AL,01071,149.9,183.2,33.3
CORN,LAMAR,AL,01075,150,159.8,9.8
CORN,LAUDERDALE,AL,01077,184.4,157.6,-26.8
CORN,LAWRENCE,AL,01079,187.1,176.9,-10.2
CORN,LIMESTONE,AL,01083,181.7,145.2,-36.5
CORN,MADISON,AL,01089,169,101.5,-67.5
CORN,MARSHALL,AL,01095,145.2,139.2,-6
CORN,MONROE,AL,01099,149.1,124.7,-24.4
CORN,PERRY,AL,01105,148.6,123.2,-25.4
CORN,PIKE,AL,01109,101.9,875.5,773.6
CORN,RANDOLPH,AL,01111,99.2,187,87.8
CORN,SHELBY,AL,01117,143.1,194.5,51.4
CORN,SUMTER,AL,01119,165,181.4,16.4
CORN,TALLADEGA,AL,01121,144.4,189.7,45.3
CORN,TUSCALOOSA,AL,01125,137.3,196.4,59.1
CORN,WALKER,AL,01127,140,175.2,35.2
CORN,WILCOX,AL,01131,95,186.2,91.2
CORN,OTHER (COMBINED) COUNTIES,AL,01998,833.4,192.3,-641.1
CORN,ARKANSAS,AR,05001,188.9,186.1,-2.8
CORN,ASHLEY,AR,05003,193.4,176.3,-17.1
CORN,CHICOT,AR,05017,189.3,177,-12.3
CORN,CLAY,AR,05021,194.6,192.7,-1.9
CORN,CRAIGHEAD,AR,05031,183.8,168.4,-15.4
CORN,CRAWFORD,AR,05033,95.7,193.2,97.5
CORN,CRITTENDEN,AR,05035,183,185.3,2.3
CORN,CROSS,AR,05037,173.8,200,26.2
CORN,DESHA,AR,05041,204,173.2,-30.8
CORN,DREW,AR,05043,205.8,166.7,-39.1
CORN,FRANKLIN,AR,05047,171.3,197.2,25.9
CORN,GREENE,AR,05055,182.5,191.1,8.6
CORN,INDEPENDENCE,AR,05063,179.6,176.2,-3.4
CORN,JACKSON,AR,05067,173,180.3,7.3
CORN,JEFFERSON,AR,05069,201.3,184.7,-16.6
CORN,LAWRENCE,AR,05075,166.3,188.1,21.8
CORN,LEE,AR,05077,177.9,407.9,230
CORN,LINCOLN,AR,05079,195,162,-33
CORN,LOGAN,AR,05083,150.4,172.9,22.5
CORN,LONOKE,AR,05085,198.9,138.9,-60
CORN,MILLER,AR,05091,163.7,164.7,1
